Quelle;GUID;Kategorie;Typ;Familie;Zusatzinfo;Menge;Einheit;Ebene;Schichtaufbau;Dicke_mm;Fl‰che_m2;L‰nge_m
ARC_Umbau_TRP-T4;cef3b455-7480-41f0-a3b8-3a2c4fd41bff-001ab8f1;Waende;Vorwand;;;0.55400000000000005;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Unbekannt [Tragend] (50 mm);76;7.3899999999999997;2.1400000000000001
ARC_Umbau_TRP-T4;cef3b455-7480-41f0-a3b8-3a2c4fd41bff-001ab8f4;Waende;Vorwand;;;0.94399999999999995;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Unbekannt [Tragend] (50 mm);76;12.590000000000000;3.5299999999999998
ARC_Umbau_TRP-T4;0d074a64-7c38-4772-8936-6efc228c2487-001afdac;Waende;Generic - 200mm Pl√§ttli;;;4.0400000000000000;m3;;Unknown Material [Tragend] (200 mm) | Tile, Mosaic, Gray [Finish 1] (5 mm);205;19.699999999999999;9.3599999999999994
ARC_Umbau_TRP-T4;0d074a64-7c38-4772-8936-6efc228c2487-001afdad;Waende;Generic - 200mm;;;4.0890000000000004;m3;;Unknown Material [Tragend] (200 mm);200;20.5;9.3300000000000001
ARC_Umbau_TRP-T4;0d074a64-7c38-4772-8936-6efc228c2487-001afe8d;Waende;Generic - 150mm Pl√§ttli;;;0.32500000000000001;m3;;Tile, Mosaic, Gray [Finish 1] (5 mm) | Unknown Material [Tragend] (150 mm) | Tile, Mosaic, Gray [Finish 1] (5 mm);160;2.0299999999999998;2.1000000000000001
ARC_Umbau_TRP-T4;0d074a64-7c38-4772-8936-6efc228c2487-001afe8e;Waende;Generic - 150mm;;;0.63400000000000001;m3;;Unknown Material [Tragend] (150 mm);150;4.2300000000000004;2.0800000000000001
ARC_Umbau_TRP-T4;96c8cc2f-6d01-4969-aedc-d5b38f0cf10c-001b06a8;Waende;Generic - 200mm;;;10.016000000000000;m3;;Unknown Material [Tragend] (200 mm);200;50.079999999999998;14.119999999999999
ARC_Umbau_TRP-T4;96c8cc2f-6d01-4969-aedc-d5b38f0cf10c-001b1325;Waende;T√ºre;;;0;m3;;;;12.980000000000000;3.6000000000000001
ARC_Umbau_TRP-T4;96c8cc2f-6d01-4969-aedc-d5b38f0cf10c-001b168c;Waende;T√ºre;;;0;m3;;;;12.980000000000000;3.6000000000000001
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c47;Waende;Trennwand;;;0.050999999999999997;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;1.7000000000000000;2.1600000000000001
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c48;Waende;Leichtbauwand;;;1.3630000000000000;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Insulation - PVC Jacketed Fiberglass [Tragend] (100 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm);152;9.0800000000000001;2.1400000000000001
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c49;Waende;Generic - 150mm;;;1.2660000000000000;m3;;Unknown Material [Tragend] (150 mm);150;8.4399999999999995;2.0699999999999998
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c4a;Waende;Leichtbauwand;;;0.40100000000000002;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Insulation - PVC Jacketed Fiberglass [Tragend] (100 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm);152;2.6699999999999999;0.77000000000000002
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c4b;Waende;Trennwand;;;0.091999999999999998;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;3.0800000000000001;1.4500000000000000
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c4c;Waende;Trennwand;;;0.27300000000000002;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;9.0899999999999999;4.3099999999999996
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c4d;Waende;Trennwand;;;0.095000000000000001;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;3.1699999999999999;3.5299999999999998
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c4e;Waende;Trennwand;;;0.099000000000000005;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;3.2999999999999998;1.5500000000000000
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c4f;Waende;Trennwand;;;0.099000000000000005;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;3.2999999999999998;1.5500000000000000
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c50;Waende;Vorwand;;;0.55400000000000005;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Unbekannt [Tragend] (50 mm);76;7.3899999999999997;2.1400000000000001
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c52;Waende;Vorwand;;;0.94399999999999995;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Unbekannt [Tragend] (50 mm);76;12.590000000000000;3.5299999999999998
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c67;Waende;Generic - 200mm Pl√§ttli;;;4.0400000000000000;m3;;Unknown Material [Tragend] (200 mm) | Tile, Mosaic, Gray [Finish 1] (5 mm);205;19.699999999999999;9.3599999999999994
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c68;Waende;Generic - 200mm;;;4.1100000000000003;m3;;Unknown Material [Tragend] (200 mm);200;20.550000000000001;9.3599999999999994
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c6c;Waende;Generic - 150mm Pl√§ttli;;;0.32500000000000001;m3;;Tile, Mosaic, Gray [Finish 1] (5 mm) | Unknown Material [Tragend] (150 mm) | Tile, Mosaic, Gray [Finish 1] (5 mm);160;2.0299999999999998;2.1000000000000001
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c6d;Waende;Generic - 150mm;;;0.63500000000000001;m3;;Unknown Material [Tragend] (150 mm);150;4.2400000000000002;2.0800000000000001
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3904;Waende;Generic - 150mm;;;3.6829999999999998;m3;;Unknown Material [Tragend] (150 mm);150;24.550000000000001;6.2900000000000000
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3991;Waende;Trennwand;;;0.050999999999999997;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;1.7000000000000000;2.1600000000000001
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3992;Waende;Leichtbauwand;;;1.3590000000000000;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Insulation - PVC Jacketed Fiberglass [Tragend] (100 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm);152;9.0600000000000005;2.1400000000000001
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3993;Waende;Generic - 150mm;;;1.2660000000000000;m3;;Unknown Material [Tragend] (150 mm);150;8.4399999999999995;2.0699999999999998
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3994;Waende;Leichtbauwand;;;0.45000000000000001;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Insulation - PVC Jacketed Fiberglass [Tragend] (100 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm);152;3.0;0.77000000000000002
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3995;Waende;Trennwand;;;0.091999999999999998;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;3.0800000000000001;1.4500000000000000
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b399a;Waende;Vorwand;;;0.55300000000000005;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Unbekannt [Tragend] (50 mm);76;7.3700000000000001;2.1400000000000001
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b39e2;Waende;Generic - 200mm;;;6.6660000000000004;m3;;Unknown Material [Tragend] (200 mm);200;33.329999999999998;9.4700000000000006
ARC_Umbau_TRP-T4;5bfbbe95-c304-4994-8503-eeb77bdd62e9-001b5acf;Waende;Generic - 150mm;;;0.59599999999999997;m3;;Unknown Material [Tragend] (150 mm);150;3.9800000000000000;1.3000000000000000
ARC_Umbau_TRP-T4;88511cf6-bc5e-4c8b-b91c-f5fa21dccc30-001b6e03;Waende;Generic - 200mm;;;0.69499999999999995;m3;;Unknown Material [Tragend] (200 mm);200;3.4800000000000000;0.91000000000000003
ARC_Umbau_TRP-T4;88511cf6-bc5e-4c8b-b91c-f5fa21dccc30-001b70ab;Waende;Trennwand;;;0.075999999999999998;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;2.5299999999999998;1.25
ARC_Umbau_TRP-T4;88511cf6-bc5e-4c8b-b91c-f5fa21dccc30-001b7294;Waende;Trennwand;;;0.129;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;4.2999999999999998;2.1600000000000001
ARC_Umbau_TRP-T4;88511cf6-bc5e-4c8b-b91c-f5fa21dccc30-001b73a3;Waende;Trennwand;;;0.129;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;4.2999999999999998;2.1600000000000001
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7625;Waende;Generic - 150mm;;;0.69399999999999995;m3;;Unknown Material [Tragend] (150 mm);150;4.6299999999999999;1.6399999999999999
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7924;Waende;Generic - 150mm;;;0.77100000000000002;m3;;Unknown Material [Tragend] (150 mm);150;5.1399999999999997;1.7000000000000000
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b799f;Waende;Generic - 150mm;;;0.042000000000000003;m3;;Unknown Material [Tragend] (150 mm);150;0.28000000000000003;
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7a3d;Waende;Generic - 150mm;;;0.0;m3;;Unknown Material [Tragend] (150 mm);150;;
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7d01;Waende;Concrete 200mm;;;1.5009999999999999;m3;;Concrete, Cast-in-Place gray [Tragend] (200 mm);200;7.5099999999999998;1.75
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7d02;Waende;Concrete 200mm;;;1.4970000000000001;m3;;Concrete, Cast-in-Place gray [Tragend] (200 mm);200;7.4800000000000004;1.7400000000000000
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7d03;Waende;Concrete 200mm;;;1.3290000000000000;m3;;Concrete, Cast-in-Place gray [Tragend] (200 mm);200;6.6500000000000004;1.75
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7db8;Waende;Concrete 200mm;;;1.7669999999999999;m3;;Concrete, Cast-in-Place gray [Tragend] (200 mm);200;8.8300000000000001;1.9500000000000000
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7db9;Waende;Concrete 200mm;;;1.5910000000000000;m3;;Concrete, Cast-in-Place gray [Tragend] (200 mm);200;7.9600000000000000;1.7400000000000000
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7dba;Waende;Concrete 200mm;;;1.5840000000000001;m3;;Concrete, Cast-in-Place gray [Tragend] (200 mm);200;7.9199999999999999;1.9500000000000000
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7f41;Waende;Generic - 200mm;;;1.498;m3;;Unknown Material [Tragend] (200 mm);200;7.4900000000000002;1.6200000000000001
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b80c7;Waende;Generic - 200mm;;;1.0690000000000000;m3;;Unknown Material [Tragend] (200 mm);200;5.3399999999999999;1.6399999999999999
ARC_Umbau_TRP-T4;3f6e3cbc-fe21-43a7-b0e4-068795e741f4-001b82c2;Waende;Generic - 200mm;;;0.34000000000000002;m3;;Unknown Material [Tragend] (200 mm);200;1.7000000000000000;
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b83dc;Waende;Generic - 200mm;;;6.4600000000000000;m3;;Unknown Material [Tragend] (200 mm);200;32.299999999999997;7.4600000000000000
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b8688;Waende;Generic - 200mm;;;0.97599999999999998;m3;;Unknown Material [Tragend] (200 mm);200;4.8799999999999999;1.5400000000000000
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b8834;Waende;Generic - 200mm;;;0.34000000000000002;m3;;Unknown Material [Tragend] (200 mm);200;1.7000000000000000;
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b89bc;Waende;Generic - 150mm;;;0.69599999999999995;m3;;Unknown Material [Tragend] (150 mm);150;4.6399999999999997;1.6399999999999999
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b8a6b;Waende;Generic - 150mm;;;0.74399999999999999;m3;;Unknown Material [Tragend] (150 mm);150;4.9600000000000000;1.6200000000000001
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b8b02;Waende;Generic - 150mm;;;0.042000000000000003;m3;;Unknown Material [Tragend] (150 mm);150;0.28000000000000003;
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b8bb3;Waende;Generic - 150mm;;;0.0;m3;;Unknown Material [Tragend] (150 mm);150;;
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b8caa;Waende;Generic - 150mm;;;0.69499999999999995;m3;;Unknown Material [Tragend] (150 mm);150;4.6399999999999997;1.6399999999999999
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b8e26;Waende;Generic - 150mm;;;0.74399999999999999;m3;;Unknown Material [Tragend] (150 mm);150;4.9600000000000000;1.6200000000000001
ARC_Umbau_TRP-T4;225ed64e-eb99-49d1-bbbf-3d8637b1364a-001b8e82;Waende;Generic - 150mm;;;0.042000000000000003;m3;;Unknown Material [Tragend] (150 mm);150;0.28000000000000003;
ARC_Umbau_TRP-T4;a59fe041-881f-4f6f-b224-87df11fdac8a-001b8ed7;Waende;Generic - 150mm;;;0.0;m3;;Unknown Material [Tragend] (150 mm);150;;
ARC_Umbau_TRP-T4;bf384d7a-2c1b-49aa-b6e8-4aab5a6d633f-001b91aa;Waende;Generic - 200mm;;;1.9399999999999999;m3;;Unknown Material [Tragend] (200 mm);200;9.6999999999999993;2.3199999999999998
ARC_Umbau_TRP-T4;bf384d7a-2c1b-49aa-b6e8-4aab5a6d633f-001b9530;Waende;Generic - 200mm;;;1.9520000000000000;m3;;Unknown Material [Tragend] (200 mm);200;9.7599999999999998;2.3199999999999998
ARC_Umbau_TRP-T4;bf384d7a-2c1b-49aa-b6e8-4aab5a6d633f-001b9533;Waende;Generic - 200mm;;;1.9450000000000001;m3;;Unknown Material [Tragend] (200 mm);200;9.7300000000000004;2.3199999999999998
ARC_Umbau_TRP-T4;bf384d7a-2c1b-49aa-b6e8-4aab5a6d633f-001b9536;Waende;Generic - 200mm;;;1.9470000000000001;m3;;Unknown Material [Tragend] (200 mm);200;9.7400000000000002;2.3199999999999998
ARC_Umbau_TRP-T4;bf384d7a-2c1b-49aa-b6e8-4aab5a6d633f-001b9539;Waende;Generic - 200mm;;;1.9470000000000001;m3;;Unknown Material [Tragend] (200 mm);200;9.7300000000000004;2.3199999999999998
ARC_Umbau_TRP-T4;84a87323-d7fd-4048-83f4-de7cb1327f9c-001bb520;Waende;Generic - 200mm;;;0.97099999999999997;m3;;Unknown Material [Tragend] (200 mm);200;4.8600000000000003;2.2700000000000000
ARC_Umbau_TRP-T4;39c531de-0dad-46ba-99ec-39a179b1cfa7-001bba1b;Waende;Generic - 200mm;;;0.0;m3;;Unknown Material [Tragend] (200 mm);200;;
ARC_Umbau_TRP-T4;7ebf658d-25be-430b-b249-5fbe28fdfa9e-001bf280;Waende;Generic - 200mm;;;1.1859999999999999;m3;;Unknown Material [Tragend] (200 mm);200;5.9299999999999997;2.3199999999999998
ARC_Umbau_TRP-T4;7ebf658d-25be-430b-b249-5fbe28fdfa9e-001bf2ac;Waende;Generic - 200mm;;;1.0069999999999999;m3;;Unknown Material [Tragend] (200 mm);200;5.0400000000000000;2.3199999999999998
ARC_Umbau_TRP-T4;7ebf658d-25be-430b-b249-5fbe28fdfa9e-001bf2d8;Waende;Generic - 200mm;;;1.0089999999999999;m3;;Unknown Material [Tragend] (200 mm);200;5.0499999999999998;2.3199999999999998
ARC_Umbau_TRP-T4;7ebf658d-25be-430b-b249-5fbe28fdfa9e-001bf304;Waende;Generic - 200mm;;;1.0089999999999999;m3;;Unknown Material [Tragend] (200 mm);200;5.0499999999999998;2.3199999999999998
ARC_Umbau_TRP-T4;b1436389-c9d2-4586-937e-1b30babe4f3d-001bfe84;Waende;M_HSLU Innenbereich;;;0;m3;;;;11.039999999999999;3.0499999999999998
ARC_Umbau_TRP-T4;cac67535-074b-462d-9002-93eac0e807fe-001c097c;Waende;T√ºre 2;;;0;m3;;;;8.4399999999999995;2.3100000000000001
ARC_Umbau_TRP-T4;cac67535-074b-462d-9002-93eac0e807fe-001c17fd;Waende;Generic - 200mm;;;0.29599999999999999;m3;;Unknown Material [Tragend] (200 mm);200;1.4800000000000000;2.3100000000000001
ARC_Umbau_TRP-T4;cac67535-074b-462d-9002-93eac0e807fe-001c1907;Waende;Generic - 200mm;;;0.65200000000000002;m3;;Unknown Material [Tragend] (200 mm);200;3.2599999999999998;0.56000000000000005
ARC_Umbau_TRP-T4;cac67535-074b-462d-9002-93eac0e807fe-001c1b95;Waende;T√ºre 2;;;0;m3;;;;8.4299999999999997;2.1099999999999999
ARC_Umbau_TRP-T4;fe21a8cb-42a8-42a4-b706-c2f3443cb118-001c20ec;Waende;Generic - 150mm;;;0.69599999999999995;m3;;Unknown Material [Tragend] (150 mm);150;4.6399999999999997;1.7000000000000000
ARC_Umbau_TRP-T4;fe21a8cb-42a8-42a4-b706-c2f3443cb118-001c214d;Waende;Generic - 200mm;;;1.4090000000000000;m3;;Unknown Material [Tragend] (200 mm);200;7.0400000000000000;1.6399999999999999
ARC_Umbau_TRP-T4;fe21a8cb-42a8-42a4-b706-c2f3443cb118-001c21b5;Waende;Generic - 200mm;;;1.3160000000000001;m3;;Unknown Material [Tragend] (200 mm);200;6.5800000000000001;1.5400000000000000
ARC_Umbau_TRP-T4;fe21a8cb-42a8-42a4-b706-c2f3443cb118-001c25a5;Waende;Generic - 150mm;;;0.69399999999999995;m3;;Unknown Material [Tragend] (150 mm);150;4.6299999999999999;1.6200000000000001
ARC_Umbau_TRP-T4;fe21a8cb-42a8-42a4-b706-c2f3443cb118-001c25d5;Waende;Generic - 150mm;;;0.69399999999999995;m3;;Unknown Material [Tragend] (150 mm);150;4.6299999999999999;1.6200000000000001
ARC_Umbau_TRP-T4;fe21a8cb-42a8-42a4-b706-c2f3443cb118-001c27f6;Waende;Liftschacht;;;0.14599999999999999;m3;;Steel ASTM A36 [Tragend] (40 mm);40;3.6600000000000001;1.2800000000000000
ARC_Umbau_TRP-T4;fe21a8cb-42a8-42a4-b706-c2f3443cb118-001c284d;Waende;Liftschacht;;;0.151;m3;;Steel ASTM A36 [Tragend] (40 mm);40;3.7700000000000000;1.3400000000000001
ARC_Umbau_TRP-T4;fe21a8cb-42a8-42a4-b706-c2f3443cb118-001c289e;Waende;Liftschacht;;;0.14199999999999999;m3;;Steel ASTM A36 [Tragend] (40 mm);40;3.5499999999999998;1.3799999999999999
ARC_Umbau_TRP-T4;4ef5454d-9d09-492d-becc-28a413bdea95-001c2d97;Waende;Liftschacht;;;0.188;m3;;Steel ASTM A36 [Tragend] (40 mm);40;4.7100000000000000;1.2800000000000000
ARC_Umbau_TRP-T4;4ef5454d-9d09-492d-becc-28a413bdea95-001c2d98;Waende;Liftschacht;;;0.19400000000000001;m3;;Steel ASTM A36 [Tragend] (40 mm);40;4.8499999999999996;1.3400000000000001
ARC_Umbau_TRP-T4;4ef5454d-9d09-492d-becc-28a413bdea95-001c2d99;Waende;Liftschacht;;;0.183;m3;;Steel ASTM A36 [Tragend] (40 mm);40;4.5599999999999996;1.3799999999999999
